Date,Open,High,Low,Close,Volume
2023-09-26,2638.0306846217104,2676.4020400343898,2506.129150390625,2506.129150390625,89029
2023-09-27,2380.8466796875,2380.8466796875,2380.8466796875,2380.8466796875,1936
2023-09-28,2261.7995344550677,2344.345957539597,2261.7995344550677,2263.909912109375,143979
2023-09-29,2150.7144979368713,2335.8562901321507,2150.7144979368713,2312.114013671875,81364
2023-10-03,2291.729090353912,2291.729090353912,2196.5201693754166,2205.105712890625,201692
2023-10-04,2164.144781938647,2200.5975752514437,2094.884521484375,2094.884521484375,52478
2023-10-05,2039.4378331949827,2153.544620907409,2014.4964485933508,2088.073486328125,93177
2023-10-06,2091.239140522451,2192.443603515625,2038.6703299665264,2192.443603515625,30739
2023-10-09,2195.800752234401,2228.416403425301,2111.911425643722,2149.611328125,11473
2023-10-10,2167.981663694526,2257.05126953125,2167.981663694526,2257.05126953125,21819
2023-10-11,2318.5891456575664,2340.652674970816,2192.2515050821667,2259.8330078125,28360
2023-10-12,2286.8849828936877,2326.2636368649864,2215.993990897754,2267.747314453125,15581
2023-10-13,2262.7590867992,2307.0779595988574,2230.335241608043,2249.904541015625,21684
2023-10-16,2208.271805438262,2267.7474144465905,2208.271805438262,2253.501953125,43372
2023-10-17,2263.9102616410228,2302.28162200782,2238.968877402605,2255.900146484375,33682
2023-10-18,2256.2839743935883,2268.706655327967,2225.73068537643,2257.722900390625,30262
2023-10-19,2258.154530731226,2483.442471285657,2239.976145813679,2456.8701171875,114280
2023-10-20,2453.896422009278,2484.5454982069673,2438.1640242804406,2457.685546875,51282
2023-10-23,2460.563480980679,2493.179137258785,2360.0784811238655,2412.55126953125,59528
2023-10-25,2436.581202229443,2494.1382385025795,2396.3872989121082,2424.0625,34781
2023-10-26,2398.209822007672,2613.521052987485,2361.373412821705,2594.431396484375,98080
2023-10-27,2618.845200310286,2640.8607202640665,2566.084582721617,2603.113037109375,33254
2023-10-30,2781.923609082362,2827.8254423122994,2695.6840708808872,2746.526123046875,97836
2023-10-31,2878.8113075768397,2887.5408857284115,2719.713961193789,2804.322998046875,162341
2023-11-01,2829.8874261274273,2856.69936354511,2725.8051258783335,2778.0380859375,38693
2023-11-02,2830.750921836555,2857.6108725073555,2744.2715671961755,2762.30615234375,33968
2023-11-03,2848.785322404787,2848.785322404787,2725.9011965679288,2761.634521484375,22984
2023-11-06,2779.0456040745066,2783.0265387882578,2633.2344436259996,2695.875732421875,45477
2023-11-07,2695.587600293089,2707.099006415337,2628.293932350177,2643.018798828125,21655
2023-11-08,2643.8347558976566,2664.890993183019,2603.9764582416506,2624.16943359375,34055
2023-11-09,2590.2105174054655,2626.9511402892695,2523.444493626723,2592.512939453125,53276
2023-11-10,2569.9216918764178,2625.5601607561607,2512.0288120430255,2545.0283203125,276469
2023-11-13,2628.4380135692927,2790.125369601703,2602.1537271136726,2635.53662109375,477945
2023-11-15,2666.857554795592,2766.958700567145,2643.3070855457727,2690.024169921875,272066
2023-11-16,2709.9768627107496,2849.7444721174284,2646.520330030347,2780.820068359375,243270
2023-11-17,2801.109310917046,3045.3431136928375,2752.4256473797036,2994.69287109375,370308
2023-11-20,3020.785341744441,3131.486622607807,2931.571928984126,3081.939697265625,317244
2023-11-21,3118.631790017351,3179.0666724446323,3036.3251890144497,3075.128173828125,104611
2023-11-22,3089.853832715222,3097.5281048858897,2990.2801044607636,3044.431640625,110815
2023-11-23,3063.9526528486513,3120.5504006626993,3036.325230804473,3088.46240234375,88417
